topic,successors,antecedents
26_14,"['27_8', '27_15', '27_17']","['25_2', '25_18', '25_9']"
26_15,"['27_9', '27_3', '27_4']","['25_4', '25_8', '25_14']"
26_16,"['27_13', '27_19', '27_14']","['25_17', '25_10', '25_0']"
26_17,"['27_6', '27_7', '27_4']","['25_15', '25_4', '25_13']"
26_18,"['27_16', '27_15', '27_20']","['25_0', '25_2', '25_13']"
26_19,"['27_19', '27_13', '27_8']","['25_17', '25_18', '25_2']"
26_20,"['27_15', '27_20', '27_8']","['25_2', '25_9', '25_1']"
26_21,"['27_23', '27_1', '27_2']","['25_19', '25_6', '25_7']"
26_22,"['27_10', '27_11', '27_6']","['25_21', '25_16', '25_20']"
26_23,"['27_21', '27_5', '27_11']","['25_20', '25_13', '25_3']"
26_24,"['27_16', '27_8', '27_19']","['25_18', '25_0', '25_13']"
27_0,"['28_0', '28_1']","['26_0', '26_2', '26_15']"
27_1,"['28_0', '28_1']","['26_2', '26_0', '26_12']"
27_2,"['28_0', '28_1']","['26_7', '26_12', '26_21']"
27_3,"['28_0', '28_1']","['26_4', '26_3', '26_15']"
27_4,"['28_0', '28_1']","['26_3', '26_4', '26_5']"
27_5,"['28_0', '28_1']","['26_1', '26_23', '26_5']"
27_6,"['28_0', '28_1']","['26_0', '26_2', '26_15']"
27_7,"['28_0', '28_1']","['26_0', '26_3', '26_2']"
27_8,"['28_1', '28_0']","['26_14', '26_18', '26_20']"
27_9,"['28_0', '28_1']","['26_15', '26_0', '26_4']"
27_10,"['28_0', '28_1']","['26_8', '26_5', '26_4']"
27_11,"['28_0', '28_1']","['26_5', '26_8', '26_0']"
27_12,"['28_0', '28_1']","['26_12', '26_2', '26_0']"
27_13,"['28_0', '28_1']","['26_16', '26_19', '26_9']"
27_14,"['28_0', '28_1']","['26_9', '26_18', '26_14']"
27_15,"['28_0', '28_1']","['26_20', '26_6', '26_18']"
27_16,"['28_0', '28_1']","['26_11', '26_18', '26_5']"
27_17,"['28_0', '28_1']","['26_6', '26_18', '26_11']"
27_18,"['28_0', '28_1']","['26_10', '26_8', '26_12']"
