relation,similarity,window1,window2,topic_id
continued,0.09860462928876539,4,5,8
continued,0.20937534773348157,4,5,9
continued,0.15388968835227793,4,5,10
continued,0.1473642161515218,4,5,11
continued,0.12279390916718222,4,5,12
continued,0.20412045894203346,4,5,13
continued,0.044869063828166966,4,5,14
continued,0.08551701043017321,4,5,15
continued,0.13770983897638114,4,5,16
continued,0.06319493036542673,4,5,17
continued,0.14264300738750305,4,5,18
continued,0.16163219473789156,4,5,19
continued,0.026669561137485198,4,5,20
continued,0.15671455466522752,4,5,21
continued,0.05662044890822031,4,5,22
continued,0.18782298382220194,4,5,23
continued,0.14476514433391574,4,5,24
continued,0.14924490738471646,4,5,25
continued,0.07658996186582959,4,5,26
continued,0.20519897821779143,4,5,27
continued,0.10160348263036144,4,5,28
continued,0.12984059996650663,4,5,29
continued,0.10841116260005006,4,5,30
continued,0.018082049363654623,4,5,31
continued,0.14168411302540648,4,5,32
continued,0.20267264996056483,4,5,33
continued,0.15307735754986843,4,5,34
continued,0.06462494526332892,4,5,35
continued,0.16019300754769256,4,5,36
continued,0.1327544324242793,4,5,37
continued,0.08644883807415817,4,5,38
continued,0.07631372762501315,4,5,39
continued,0.1275032154703378,4,5,40
continued,0.1390388071701938,4,5,41
continued,0.10165827293859361,4,5,42
continued,0.012627920860142848,4,5,43
continued,0.14277235818474018,4,5,44
continued,0.039560153117262284,4,5,45
continued,0.15182773918831477,4,5,46
continued,0.1283659042896233,4,5,47
continued,0.11212323263589626,4,5,48
continued,0.11590901908701899,4,5,49
continued,0.19120426471698787,5,6,0
continued,0.09061403908601656,5,6,1
continued,0.15998977142398071,5,6,2
continued,0.07046623692396435,5,6,3
continued,0.0768976541987876,5,6,4
continued,0.13269836766102236,5,6,5
continued,0.1044084969636815,5,6,6
continued,0.12753859687859156,5,6,7
continued,0.15800744673102549,5,6,8
continued,0.17637338486432305,5,6,9
continued,0.1842309174369452,5,6,10
continued,0.2097491869106521,5,6,11
continued,0.027160455182261466,5,6,12
continued,0.10050055886572185,5,6,13
continued,0.13102746505486787,5,6,14
continued,0.2300268489554719,5,6,15
continued,0.11540678582085682,5,6,16
continued,0.021455946773955268,5,6,17
continued,0.11528371122792652,5,6,18
continued,0.09193129174145115,5,6,19
continued,0.06982055676778097,5,6,20
continued,0.16803093495233176,5,6,21
continued,0.12563309155434133,5,6,22
continued,0.168223535431386,5,6,23
continued,0.07098083678818608,5,6,24
continued,0.06321504898527583,5,6,25
continued,0.03720901253224593,5,6,26
continued,0.1968549265885956,5,6,27
continued,0.060554826737729654,5,6,28
continued,0.1471146772751587,5,6,29
continued,0.13535159090071122,5,6,30
continued,0.0454054341176826,5,6,31
continued,0.07815988381275815,5,6,32
continued,0.12320919387459917,5,6,33
continued,0.09981992675171596,5,6,34
continued,0.05290870001564508,5,6,35
continued,0.0856207494807429,5,6,36
continued,0.14348699692311534,5,6,37
continued,0.23640994208022342,5,6,38
continued,0.06376204578102203,5,6,39
continued,0.10964757139383258,5,6,40
continued,0.022472525098864642,5,6,41
continued,0.14018206011070808,5,6,42
continued,0.14901728199865802,5,6,43
continued,0.0365259289806847,5,6,44
continued,0.16647746646474781,5,6,45
continued,0.15993082762744348,5,6,46
continued,0.006814615452299999,5,6,47
continued,-0.013018549264281547,5,6,48
continued,0.08286473126586112,5,6,49
continued,0.1539172784947655,6,7,0
continued,0.08715829529012335,6,7,1
continued,0.2566830628916505,6,7,2
continued,-0.028087086492364542,6,7,3
continued,0.061103456144569114,6,7,4
continued,0.20581564969297952,6,7,5
continued,0.1624928086052079,6,7,6
continued,0.14253394017921878,6,7,7
continued,0.14194073550608216,6,7,8
continued,0.10791833437933997,6,7,9
continued,0.1021545238718544,6,7,10
continued,0.14882931998212826,6,7,11
continued,0.06725351349461159,6,7,12
continued,0.13262841735876918,6,7,13
continued,0.12460813010406983,6,7,14
continued,0.11865634333120614,6,7,15
continued,0.1429999977998267,6,7,16
continued,0.10819057411968375,6,7,17
continued,0.011854138076532392,6,7,18
continued,0.08672023934036097,6,7,19
continued,0.05848252292287235,6,7,20
continued,0.04873767554313063,6,7,21
continued,0.06262109099287172,6,7,22
continued,-0.01899218112603154,6,7,23
continued,0.019445217304669814,6,7,24
continued,0.1983934307436624,6,7,25
continued,0.21047971031124102,6,7,26
continued,0.13747712399211345,6,7,27
continued,0.11885381231828285,6,7,28
continued,0.15542542669558093,6,7,29
continued,0.1399731129669267,6,7,30
continued,0.16833003125522,6,7,31
continued,0.18274388384769344,6,7,32
continued,0.17812201636124064,6,7,33
continued,0.08194029646347437,6,7,34
continued,0.07685359803363909,6,7,35
continued,0.2447873441612725,6,7,36
continued,0.1304354497945737,6,7,37
continued,0.1152758994149782,6,7,38
continued,0.012052686010679142,6,7,39
continued,0.036677558647410714,6,7,40
continued,0.11459590119176027,6,7,41
continued,0.15571433173664442,6,7,42
continued,0.06695747274625988,6,7,43
continued,0.022012386891408428,6,7,44
continued,-0.07706209228185375,6,7,45
continued,0.20283766971300984,6,7,46
continued,0.1316388714248369,6,7,47
continued,0.030595567114950234,6,7,48
continued,0.12913053253734477,6,7,49
continued,0.12045521388013845,7,8,0
continued,0.07515385488918225,7,8,1
continued,0.1843456000026082,7,8,2
continued,0.10265481762116352,7,8,3
continued,0.12666482542133572,7,8,4
continued,0.13102324853387598,7,8,5
continued,0.07085239135684758,7,8,6
continued,0.14088124293828072,7,8,7
continued,0.08126005275858239,7,8,8
continued,0.05503962417267353,7,8,9
continued,0.057835094968465915,7,8,10
continued,0.2041760398826141,7,8,11
continued,0.043915925041992654,7,8,12
continued,0.1332143137093044,7,8,13
continued,0.08257576959686655,7,8,14
continued,0.08799015298558482,7,8,15
continued,0.072281023094877,7,8,16
continued,0.15910804550709504,7,8,17
continued,0.019579148760549062,7,8,18
continued,0.03847439994041193,7,8,19
continued,0.08398891307949113,7,8,20
continued,0.022295909436201005,7,8,21
continued,0.14641812978646263,7,8,22
continued,0.16981279225156637,7,8,23
continued,0.11800613860274989,7,8,24
continued,0.16053031058539327,7,8,25
continued,0.09713423561503871,7,8,26
continued,0.11267076500507078,7,8,27
continued,0.03668363733451236,7,8,28
continued,0.12875839535675684,7,8,29
continued,0.05459009892776854,7,8,30
continued,0.1362381018433435,7,8,31
continued,0.21113795559874848,7,8,32
continued,0.13327156592336786,7,8,33
continued,0.06342602307477616,7,8,34
continued,0.09086291017336999,7,8,35
continued,0.1525425044156122,7,8,36
continued,0.11529997159207046,7,8,37
continued,0.08695959572346038,7,8,38
continued,0.1849591738116215,7,8,39
continued,0.10082168463510041,7,8,40
continued,0.09877562216429939,7,8,41
continued,0.18643873026532237,7,8,42
continued,0.2731561971146513,7,8,43
continued,0.25460743486909665,7,8,44
continued,0.12038296009931385,7,8,45
continued,0.07401187735853,7,8,46
continued,0.11402845952899275,7,8,47
continued,-0.013344722815220436,7,8,48
continued,-0.021670279404112744,7,8,49
continued,0.09524174792245786,8,9,0
continued,0.16020235280435371,8,9,1
continued,0.12584847665565788,8,9,2
continued,0.06934832072219119,8,9,3
continued,0.16683989863059337,8,9,4
continued,0.00876932556344332,8,9,5
continued,0.11021139284953259,8,9,6
continued,0.08362470645349797,8,9,7
continued,0.06329218056834598,8,9,8
continued,0.04922962655669201,8,9,9
continued,0.0014653898217496688,8,9,10
continued,0.08960423345881861,8,9,11
