topic,timepoint1,timepoint2,similarity
0,214,215,0.8100372181941978
0,215,216,0.8540463176056451
0,216,217,0.9646719999504343
0,217,218,0.9115250638260776
0,218,219,0.93374502880922
0,219,220,0.8473150806822569
0,220,221,0.8673502671683584
0,221,222,0.9737216815063198
0,222,223,0.9204493435320465
0,223,224,0.7928186895823499
0,224,225,0.9685433038123941
0,225,226,0.9670478915294988
1,0,1,0.8409591044406265
1,1,2,0.8811481392563266
1,2,3,0.6672007272525067
1,3,4,0.691475624457458
1,4,5,0.8172559987190762
1,5,6,0.9396449702871865
1,6,7,0.9396444550709044
1,7,8,0.8672641818228679
1,8,9,0.5968719245637499
1,9,10,0.40938621331137875
1,10,11,0.8174054793541589
1,11,12,0.9261657631525014
1,12,13,0.8025288537719703
1,13,14,0.7864856513920635
1,14,15,0.889510360987367
1,15,16,0.9431599092155141
1,16,17,0.9357603681250206
1,17,18,0.8025269691632732
1,18,19,0.8025290623864326
1,19,20,0.8755097848013691
1,20,21,0.9515090990568686
1,21,22,0.9748611170093852
1,22,23,0.801071840370329
1,23,24,0.9305940574767905
1,24,25,0.8072796099613162
1,25,26,0.8617869467459676
1,26,27,0.8401294742828765
1,27,28,0.7190111802979793
1,28,29,0.6601894100019879
1,29,30,0.7225871363201127
1,30,31,0.8513123424282795
1,31,32,0.8519899436538236
1,32,33,0.8825057661709709
1,33,34,0.9999999989763628
1,34,35,0.9379637925414221
1,35,36,0.9298772880382168
1,36,37,0.8294621723428637
1,37,38,0.7702155802613395
1,38,39,0.9707285974193063
1,39,40,0.7708966142073234
1,40,41,0.8561832847247323
1,41,42,0.8920513851298748
1,42,43,0.7923380879480135
1,43,44,0.9909726567131597
1,44,45,0.9655259260453418
1,45,46,0.9853548160844244
1,46,47,0.983981312856068
1,47,48,0.9739720817721328
1,48,49,0.9342382281344185
1,49,50,0.9803539104361254
1,50,51,0.9786478434148402
1,51,52,0.9168365901812934
1,52,53,0.9568305086156023
1,53,54,0.9777757727955271
1,54,55,0.9631741560600264
1,55,56,0.9840626782159319
1,56,57,0.9769290872523684
1,57,58,0.9660800256699902
1,58,59,0.9126206805620193
1,59,60,0.9008779481144175
1,60,61,0.9404491801699131
1,61,62,0.9999999997619254
1,62,63,0.9763160598355536
1,63,64,0.9922298848013295
1,64,65,0.9445321778379855
1,65,66,0.9446145777927967
1,66,67,0.9706125308878764
1,67,68,0.9760406403048119
1,68,69,0.9925709284287332
1,69,70,0.9594799501356276
1,70,71,0.9655735531641201
1,71,72,0.8366876996482197
1,72,73,0.9492322049241465
1,73,74,0.7995828471660952
1,74,75,0.8975453706378275
1,75,76,0.9504969776250585
1,76,77,0.9839260980651623
1,77,78,0.9128810900680369
1,78,79,0.9364755338952854
1,79,80,0.8679887211885997
1,80,81,0.8832535367114089
1,81,82,0.7514422386443802
1,82,83,0.9607243505431988
1,83,84,0.9582279131319009
1,84,85,0.8583673427785727
1,85,86,0.8798095648679473
1,86,87,0.929060989889844
1,87,88,0.9106325217425243
1,88,89,0.7775311390201662
