year,cv,npmi,umass,diversity,tq
1931,0.4172588097265561,-0.5035951034567215,-14.619262548612367,0.8947755102040817,0.3733529643602271
1932,0.49940357682021635,-0.558152683877041,-18.134229389932383,0.9354285714285715,0.46715637443125385
1934,0.5854719515803013,-0.6342280658161854,-21.413323238857732,0.9727346938775512,0.5695088795943568
1935,0.562550305525737,-0.5949148960939571,-20.237999943422324,0.9584489795918367,0.5391757663002187
1936,0.5783776812292596,-0.6056733683593019,-20.903470320948763,0.9640816326530612,0.5576032992095964
1937,0.5835374924396419,-0.6029927015850552,-21.118943765002378,0.9683265306122447,0.5650548355362475
1938,0.5384991554167788,-0.5675916642794244,-19.32153465772409,0.9348571428571428,0.5034197818639143
1939,0.6062151287265856,-0.6124370073698274,-21.52619182065078,0.9515102040816324,0.5768198808520065
1940,0.6104974506601561,-0.6184780149510857,-21.67806124323226,0.9688163265306123,0.5914598975048763
1941,0.6443219214068105,-0.6265224883909931,-22.417463264979318,0.9791836734693876,0.6309095058999749
1942,0.5751684796573565,-0.5904001113666169,-20.57244586265381,0.9452244897959184,0.5436633327308189
1943,0.5831170449352981,-0.5878393490732547,-20.742538812582833,0.9380408163265307,0.5469875888450213
1944,0.6052605499288701,-0.6115530216441795,-21.457700995401147,0.9625306122448979,0.582581807690719
1945,0.5060952667114273,-0.5039854232380092,-17.635645245205207,0.866612244897959,0.43858835521702133
1946,0.4670734835388475,-0.14197130367496485,-5.348701709504919,0.6018775510204082,0.28112104441893243
1947,0.5117518243309161,-0.5456167938197045,-18.5221103459738,0.9102857142857144,0.46584037494808544
1948,0.5347317907238474,-0.5415527345085145,-18.757287636631542,0.9239999999999999,0.4940921746288349
1949,0.5975598524297381,-0.6077287098735197,-21.29598995862265,0.950530612244898,0.5679989323830098
1950,0.522516260161144,-0.5480031724648251,-18.37142987217041,0.9157551020408162,0.47849693114185415
1951,0.5904599354979471,-0.588699783585731,-20.834432783926605,0.9283265306122449,0.5481396233863391
1952,0.5491324528876104,-0.5490871070804543,-19.405133581640083,0.927265306122449,0.5091914720286013
1953,0.42454421633764544,-0.44733391281446894,-14.22583630001948,0.8447346938775511,0.35862722862546575
1954,0.5020181824285364,-0.523096040986159,-17.54778827276167,0.9026122448979591,0.45312775862141436
1955,0.3971364680683109,-0.436232875287269,-12.555295364843722,0.8516734693877551,0.33823059358013774
1956,0.40237897988221805,-0.4135731106125591,-13.479714867957481,0.846530612244898,0.34062612419417154
